"crAss"	"res"	"int1"	"mge"	"bp"	"country"	"rel_crAss"	"rel_res"	"rel_int"	"rel_mge"
"ERR011226"	141.603	3157	0	2466	1675121700	"European"	84.5329625901211	1884.63918770797	NA	1472.13184570411
"ERR011227"	177.902	4455	0	1374	1679461950	"European"	105.927972943954	2652.63526809881	NA	818.119160127444
"ERR011228"	0.00927214	4128	1	877	1682568300	"European"	0.00551070645988041	2453.39223376549	0.594329513993578	521.226983772368
"ERR011229"	0.00927214	5524	0	1462	1660479000	"European"	0.00558401521488679	3326.75089537417	NA	880.46882857296
"ERR011230"	0.00309071	2911	0	2654	1641584400	"European"	0.00188276033812212	1773.28683191678	NA	1616.73076327967
"ERR011231"	0.00463607	2429	0	2072	1066883850	"European"	0.0043454308545396	2276.72393766201	NA	1942.10456930246
"ERR011232"	85.8988	1609	0	1412	1740028950	"European"	49.3663050836022	924.697258628944	NA	811.480751512784
"ERR011233"	93.0696	1671	0	1436	1596229350	"European"	58.3059069800966	1046.84204685248	NA	899.620095320262
"ERR011234"	NA	6902	0	1884	1664597700	"European"	NA	4146.3471924778	NA	1131.80500009101
"ERR011235"	NA	9275	0	2006	1625203500	"European"	NA	5706.97761849516	NA	1234.30696525081
"ERR011236"	0.242209	3870	0	1681	1628068650	"European"	0.148770753616563	2377.0496409964	NA	1032.51174328552
"ERR011237"	0.464967	4511	0	1904	1793851050	"European"	0.259200450338393	2514.70154113409	NA	1061.40362099741
"ERR011238"	1.42618	6057	0	2495	1806452250	"European"	0.789492221563011	3352.98096033261	NA	1381.1602271801
"ERR011239"	0.00618142	3185	0	2253	1698060600	"European"	0.00364028233150219	1875.66921934353	NA	1326.80777117142
"ERR011240"	0.00309071	4419	0	2743	1895464050	"European"	0.00163058223130109	2331.35521615406	NA	1447.13902645634
"ERR011241"	0.00154536	4922	0	1419	1679195400	"European"	0.00092029789981559	2931.16572377461	NA	845.047574570535
"ERR011242"	NA	7817	0	1721	1788420000	"European"	NA	4370.8972165375	NA	962.301920130618
"ERR011243"	0.00154536	6588	2	2162	1814723700	"European"	0.000851567651868987	3630.30471250252	1.1020961483007	1191.36593631306
"ERR011244"	NA	8912	0	2505	1880985750	"European"	NA	4737.94126297873	NA	1331.74852600558
"ERR011245"	NA	5008	0	2122	1654177200	"European"	NA	3027.48701892397	NA	1282.81299004726
"ERR011246"	NA	6887	0	3169	1887966600	"European"	NA	3647.83995649076	NA	1678.52545696518
"ERR011247"	NA	4072	0	2285	1675816800	"European"	NA	2429.85987489802	NA	1363.514197972
"ERR011248"	NA	5604	0	3033	1776357900	"European"	NA	3154.76965537181	NA	1707.42618928314
"ERR011249"	NA	6939	0	1127	1751053800	"European"	NA	3962.75659834095	NA	643.612434980581
"ERR011250"	NA	10262	0	1555	1778716500	"European"	NA	5769.32861420018	NA	874.225881415054
"ERR011251"	NA	4974	0	1926	1680301200	"European"	NA	2960.18356708904	NA	1146.22307000673
"ERR011252"	NA	4462	0	1263	617876250	"European"	NA	7221.51077986895	NA	2044.09863625605
"ERR011253"	0.00618142	2866	0	2466	1654722750	"European"	0.00373562278031169	1732.0122056701	NA	1490.27986712578
"ERR011254"	0.00772678	4803	0	4078	2069008200	"European"	0.00373453328991156	2321.40210947448	NA	1970.99267175451
"ERR011255"	0.860454	1545	1	721	1283949300	"European"	0.67016197602195	1203.31854225085	0.778846952913172	561.548653050397
"ERR011256"	1.74272	2081	0	791	666951150	"European"	2.61296498251783	3120.16854607718	NA	1185.99390675014
"ERR011257"	4.84151	7767	0	3057	1561750500	"European"	3.10005343363104	4973.26557603151	NA	1957.4189347146
"ERR011258"	4.25513	5336	0	609	494370750	"European"	8.60716375311444	10793.5188317675	NA	1231.86899710389
"ERR011259"	NA	2730	0	1842	1955839050	"European"	NA	1395.82037693746	NA	941.795287296263
"ERR011260"	NA	3256	0	2590	1537968600	"European"	NA	2117.0783330687	NA	1684.03958312283
"ERR011261"	NA	2433	0	1501	1629901350	"European"	NA	1492.72837892919	NA	920.914630814926
"ERR011262"	NA	3383	0	1731	1958860500	"European"	NA	1727.0244614152	NA	883.677015285162
"ERR011263"	NA	3502	3	1284	1707064200	"European"	NA	2051.47527550516	1.75740314863378	752.168547615257
"ERR011264"	NA	4604	1	1488	1918609050	"European"	NA	2399.6551043059	0.521210926217616	775.561858211812
"ERR011265"	NA	2394	0	1474	1752558300	"European"	NA	1366.00305964144	NA	841.056186262106
"ERR011266"	NA	3434	0	1369	1840104750	"European"	NA	1866.19810638498	NA	743.979384869258
"ERR011267"	NA	931	0	1061	2059902600	"European"	NA	451.96311709107	NA	515.07289713601
"ERR011268"	NA	1576	0	1393	1957176000	"European"	NA	805.241838240403	NA	711.739771998022
"ERR011269"	85.2288	1875	0	986	1714356150	"European"	49.7147573449076	1093.70506239325	NA	575.143035477196
"ERR011270"	50.2454	3005	0	1321	1993069650	"European"	25.2100572601665	1507.72452934598	NA	662.796706577715
"ERR011271"	0.210158	4573	14	2975	1682449650	"European"	0.124911910439638	2718.06053750256	8.32119998360723	1768.25499651654
"ERR011272"	0.0757225	7821	14	5554	2474844750	"European"	0.0305968687530804	3160.19823061628	5.65692049976064	2244.18117540504
"ERR011273"	0.00154536	8271	0	3595	1535752500	"European"	0.00100625589084179	5385.63342726123	NA	2340.87198295298
"ERR011274"	0.00463607	7983	0	2389	1599576750	"European"	0.00289831044368456	4990.69519483826	NA	1493.52008273439
"ERR011275"	0.00154536	6066	0	1979	1563438450	"European"	0.000988436736988271	3879.90969519779	NA	1265.79975054343
"ERR011276"	0.00154536	4950	0	1395	1324093950	"European"	0.00116710751529376	3738.40542055192	NA	1053.55061851918
"ERR011277"	0.00309071	7147	0	2030	1395049350	"European"	0.00221548434827772	5123.11625391604	NA	1455.1456548831
"ERR011278"	0.00154536	7638	0	1299	1372747350	"European"	0.00112574247548174	5564.02458179941	NA	946.277550635956
"ERR011279"	17.2166	6004	0	1907	1865339250	"European"	9.2297419892923	3218.71745313889	NA	1022.33414109525
"ERR011280"	5.9257	4454	0	958	1405873200	"European"	4.21496049572607	3168.13778084681	NA	681.427030545856
"ERR011281"	0.0154536	4844	0	1293	609857250	"European"	0.0253397003971011	7942.84236188059	NA	2120.16828528315
"ERR011282"	0.0200896	6303	0	1516	1410688650	"European"	0.0142409879033194	4468.03056081865	NA	1074.65244013979
"ERR011283"	0.208613	11164	0	3888	1799833350	"European"	0.115906842152914	6202.79649779798	NA	2160.19999851653
"ERR011284"	0.0896204	5758	0	1164	1370262000	"European"	0.0654038424768402	4202.11609166714	NA	849.472582615587
"ERR011285"	0.00309071	8381	2	1779	1716913050	"European"	0.00180015522626495	4881.43531788054	1.16488135494107	1036.16196522008
"ERR011286"	NA	5889	0	1124	1305804300	"European"	NA	4509.86415039375	NA	860.772169305921
"ERR011287"	0.00305981	39910	72	5672	1545920550	"European"	0.00197928024179509	25816.3331873685	46.5741916685175	3669.0113214421
"ERR011288"	NA	24423	170	7283	1596603300	"European"	NA	15296.8492549151	106.476041982376	4561.55890445673
"ERR011289"	0.00772678	5344	0	3487	1253711700	"European"	0.00616312346769995	4262.54297539059	NA	2781.34119670415
