"crAss"	"res"	"bp"	"rel_crAss"	"rel_res"	"sample_id"	"project_id"	"mgrast_id"	"biome"	"feature"	"material"	"env_package"	"location"	"country"	"continent"	"latitude"	"longitude"	"collection_date"	"samp_collect_device"
"mgm4494888.3"	NA	402	1211208160	NA	331.900009656474	"mgs104066"	"mgp922"	"-"	"aquatic biome"	"wastewater treatment plant"	"activated sludge"	"wastewater|sludge"	"Xiangcheng Henan province"	"China"	"-"	33.44	114.9	"2011-12-26"	"-"
"mgm4495463.3"	NA	473	9330322723	NA	50.6949238566011	"mgs64558"	"mgp1310"	"-"	"marine bathyal zone biome"	"continental slope"	"sulphate-reducing sediment"	"sediment"	"Peru_Margin"	"Peru"	"south america"	-10.9762016666667	-77.95765	"2002-03-28"	"APC_Drilled_Whole_round_core_sample"
"mgm4495464.3"	NA	439	9236966010	NA	47.5264279986238	"mgs64561"	"mgp1310"	"-"	"marine bathyal zone biome"	"continental slope"	"sulphate-reducing sediment"	"sediment"	"Peru_Margin"	"Peru"	"south america"	-10.9762016666667	-77.95765	"2002-03-28"	"APC_Drilled_Whole_round_core_sample"
"mgm4497370.3"	NA	99	1439204087	NA	68.7880203330746	"mgs70469"	"mgp1519"	"mgs70469"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2011-03-03"	"-"
"mgm4497371.3"	NA	95	1570764722	NA	60.4800952487905	"mgs70472"	"mgp1519"	"mgs70472"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2011-03-03"	"-"
"mgm4497372.3"	NA	187	1626671457	NA	114.958677854271	"mgs70475"	"mgp1519"	"mgs70475"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2009-10-27"	"-"
"mgm4497373.3"	NA	127	1940940249	NA	65.4322048633039	"mgs70478"	"mgp1519"	"mgs70478"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2009-10-27"	"-"
"mgm4497374.3"	NA	103	1428710250	NA	72.0929943632728	"mgs70481"	"mgp1519"	"mgs70481"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2010-04-10"	"-"
"mgm4497375.3"	NA	129	1920981236	NA	67.1531806675076	"mgs70484"	"mgp1519"	"mgs70484"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2010-11-01"	"-"
"mgm4497376.3"	NA	110	1408021595	NA	78.1238017872872	"mgs70487"	"mgp1519"	"mgs70487"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2010-11-01"	"-"
